Age,Gender,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Workout_Type,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days,Experience_Level,BMI,Calories_Burned
56,Female,107.30755943498892,1.9096275524357305,173,117,73,2.9052552604125688,HIIT,33.53197322266995,2.0908343475701914,4,3,29.426118076152914,865.255700562779
46,Female,58.991410266523395,1.9399109569758477,179,112,60,1.8390862514689361,HIIT,32.04088372938527,1.6504428277873249,4,1,15.675636589928796,497.3069742659335
32,Female,69.83400637859071,1.7627174562728465,150,142,78,2.04572699688697,Yoga,22.879805653455342,3.008833769612553,4,1,22.475095588424047,508.80051813095133
60,Female,51.289940311675224,1.622169970393233,189,120,75,2.2016809330643428,Strength,29.36631549482544,3.9120040833816114,3,1,19.49124043147663,648.9010164711767
25,Male,80.25685487247586,1.5564716042055868,142,129,65,2.166828824643974,HIIT,24.053618845689627,1.5271457375104776,6,3,33.12834441207898,677.7403363205183
38,Female,108.80850519188532,1.5435897339159155,197,120,84,1.7774268576126553,Yoga,23.8175972511385,2.79134986004651,6,2,45.66664233044851,490.3141256846301
56,Male,77.45058480116376,1.8595387236769279,172,147,69,1.5719107277867088,Strength,12.868548958454797,2.2725551672379285,4,1,22.398258261091193,487.83338651494904
36,Female,62.56481263966834,1.7100593639238624,150,154,52,0.6344549104434447,Strength,13.153441450403802,2.3400661652339947,5,2,21.394777503405244,326.210812457431
40,Male,102.75891838353634,1.9526799371389352,155,116,50,0.5552146132529494,Yoga,23.238340375561435,1.7624418403834432,2,3,26.949914773262307,283.38262676488023
28,Female,105.21648873095211,1.869835650363382,157,139,50,1.3949029863319116,Yoga,16.721538624475166,3.475404626984257,5,1,30.093793245158817,460.1941823675939
28,Male,62.16274327152968,1.5956302089572934,169,118,66,1.3341522265842316,HIIT,10.525922561511717,2.4557668124417233,5,1,24.41550278158175,447.6211588588052
41,Male,103.95978759786928,1.8068887094078496,187,151,51,1.469237887097517,Strength,28.070980097505306,2.6302175565947925,5,3,31.84216402963324,511.81501128022614
53,Female,116.31085217794366,1.7177527271990796,194,114,78,0.845920502220475,Cardio,10.812164917254124,1.9142827383919774,6,1,39.418395646921795,378.95298111246956
57,Female,61.64643108525907,1.7886248653843064,149,108,69,2.3454206763421093,Yoga,24.881921027601365,1.5454253970008494,2,2,19.269454081003506,528.5396223450432
41,Female,103.96890047724949,1.8690345616692585,157,151,55,2.6424110369405973,Strength,23.47984485318286,1.2577311646084615,5,3,29.76245738017783,872.1800072827876
20,Female,99.60004032218406,1.9030979405018953,177,109,57,2.8467865884350876,Strength,34.220367264445116,3.1423574227747477,4,3,27.50028759760516,769.2249013470936
39,Male,83.1501721904562,1.9218686632033621,158,143,78,1.7309057587990646,HIIT,22.10532848369104,1.5887028450635667,6,1,22.512086141915482,555.8072875952221
19,Female,54.05443223911588,1.6269874372860125,175,130,82,2.2521642478135715,Cardio,11.590035909444934,3.0702260625663933,4,3,20.420337278733683,652.3906400090075
41,Male,55.22860924304978,1.515557799958679,198,152,52,2.6388778085896814,HIIT,23.792199195161544,2.1711293381408616,4,1,24.044685390094934,635.8137354966124
61,Male,109.66902614390534,1.8696473675823866,152,122,84,1.5457277777337148,Cardio,31.027404265402534,2.2473244029689545,5,1,31.373616399472915,459.7612374357205
47,Female,119.31038609254529,1.5531718631278872,195,151,54,1.2735319871761108,Cardio,34.921232107036,2.4075324882783153,4,3,49.458304305533176,399.68803958643196
55,Male,97.32365800307281,1.657459794306484,185,129,76,2.841811389633725,Yoga,20.75857934222681,2.1031255243826297,2,1,35.42684027361972,754.6434534639219
19,Male,81.2170814907225,1.5019085670621735,142,132,61,1.7891913776926827,Strength,18.007468562418563,1.3018599316677704,4,2,36.00479894160226,543.7350452161389
38,Male,95.33015503813354,1.8408347412008101,149,156,69,1.7431347164771949,Strength,32.66633242379997,1.9288954300085375,5,2,28.132005612445294,541.5141628910935
50,Male,91.60771014599817,1.5835660057356107,177,151,69,0.9460402414087394,Strength,14.781053226903033,2.991203082081815,4,1,36.5308423945797,393.44688190852884
29,Female,76.85285822839353,1.827641204845829,140,108,58,0.7703875364333919,Cardio,25.385722875823166,2.997353204406613,6,2,23.00796151674519,310.78009948053483
39,Female,54.593830120180904,1.9958713085839195,194,153,88,2.6052671562087792,Strength,20.14286060452369,1.858672921719983,6,1,13.704982770665941,701.091839915975
61,Female,107.50590631852086,1.536335435805008,195,146,53,2.035332940468795,Yoga,11.027059123888883,2.380307879673064,6,2,45.547047440493266,655.7353701970267
42,Female,76.02834704671072,1.5385390059757302,166,100,68,1.3145614600486217,Cardio,18.682211857642443,1.5803416840358124,3,3,32.118741938971695,413.46505855830975
44,Male,107.31499503499656,1.6701900463333375,185,143,87,0.9793405434756661,Cardio,16.630713062566866,1.6311162445895073,6,1,38.47057057190901,322.15509209304025
59,Male,67.67561247818676,1.9331932571256711,147,134,76,1.8887432004240785,Cardio,27.152278848587173,1.0691412652198222,6,1,18.108465564037758,432.6584425862856
45,Female,50.072063589194336,1.607764934395666,190,110,62,1.9597982231528384,Cardio,33.71976244229795,3.690239649723234,3,1,19.370926143894422,511.12371636655774
33,Female,61.125679829372956,1.6801889099651737,185,133,62,1.0174840031126453,Yoga,16.701179684465945,1.6321199952247185,6,1,21.65247145033765,363.06450495974997
32,Female,82.7977591738009,1.5342527033134898,181,115,71,2.628514369728685,Strength,30.286648478792042,1.68260163080939,5,1,35.174245377039576,592.9209836081855
64,Male,116.10125444704809,1.8815776456294446,156,108,77,0.7106609153896277,Yoga,11.383995423460238,1.8388042979353956,6,1,32.793866378556785,357.60180270286713
61,Female,57.15355337856033,1.7041531713797256,148,131,71,1.3902327129160543,Strength,23.45302525099533,1.382224215086287,6,3,19.680040259166432,430.30654570485484
20,Female,109.79468421230962,1.8796243665304213,145,114,68,2.2009610344063053,Yoga,11.763751592747365,2.9177886495440886,3,3,31.07700668497801,541.114544401141
54,Female,86.89168673483034,1.9518039221733976,182,111,57,1.1853009095480016,HIIT,33.35082477826599,1.2254288595327596,5,2,22.80897950773686,474.04717027163184
24,Male,107.81445360599275,1.6163815735506444,164,132,57,2.5691879869531795,HIIT,29.158782013934754,1.4026072789790507,4,1,41.26569884825355,574.6940741943903
38,Male,70.88621016929949,1.9036980151699756,178,144,75,2.3496695665010088,HIIT,26.448747780114807,2.9342701797702784,2,2,19.559855578949147,698.7859570540228
26,Male,108.79630152707304,1.5295469450391266,188,113,75,2.4725571113703353,HIIT,30.597409540616606,2.0189818614443285,5,2,46.50380727512884,705.3655490813961
56,Male,104.09759460117631,1.9494236940901237,199,156,72,0.7977663396917907,Cardio,26.187994889254078,3.123843480103567,4,3,27.39228197395567,412.37977029994016
35,Male,66.10375781220037,1.8253842737793737,167,156,62,0.8513678199888572,Cardio,34.22360992935728,2.672274234010426,5,2,19.83889776202787,331.9866954930435
21,Male,59.19345884865646,1.9371133620691758,172,107,77,1.216184344361459,Yoga,27.84894869661929,1.768063519184539,4,3,15.774792093109623,443.5734630228989
42,Male,110.76380257726049,1.500094199778291,193,107,58,1.7951929129939028,Yoga,33.11646523955617,2.952483851467984,4,2,49.22217421635028,582.4447275726384
31,Male,117.42656574080924,1.5845405351779962,176,126,69,2.370040191748506,HIIT,22.928297300265953,1.3488210408786419,5,1,46.76916889410269,584.2307963963322
26,Female,52.191161962326134,1.694879693713246,148,111,68,2.5913272269022585,Strength,12.926610324546566,2.6092311492400913,3,2,18.168505847363143,711.9797100105889
43,Female,101.18890468815799,1.6897514516873593,157,100,88,2.260838289892951,HIIT,23.20444303557543,2.311444315135104,5,3,35.439471643642435,689.3058359195314
19,Male,113.6667157663473,1.6133651914617553,195,142,61,2.8214922038265957,Yoga,13.171820701577332,1.8036207484523223,5,3,43.668467026549045,809.3843531945706
37,Male,110.0152064464749,1.6908059699336,198,139,64,2.3468587740398257,HIIT,24.812336979410127,2.8120149932185003,4,3,38.48266790269209,668.680614127147
45,Female,117.5164330589146,1.5644243560001274,160,141,80,1.2656697175115368,Yoga,22.06232651319157,3.6140007770208475,2,2,48.01638535660506,501.46502827420346
64,Male,103.20658549066681,1.706380564633013,141,150,63,1.1627032108464315,HIIT,25.56438494581954,3.99671409928923,4,2,35.445052024729996,459.55958272274586
24,Male,80.96091336666372,1.901177164579632,197,110,60,2.2404811257527246,Strength,10.25117452637079,2.8232883062302734,6,3,22.39908204573003,585.7786986741485
61,Male,71.83663933465914,1.7395350315516755,182,138,75,0.9821764217240356,HIIT,14.871012291384103,2.2141176229875104,5,1,23.73994172587067,324.3858135737243
25,Female,72.45199183066892,1.5090000444726075,198,142,76,0.7317870270256748,Strength,22.283260797803273,1.6756213006486047,5,1,31.817922840742337,337.13614824150443
64,Female,100.70958708298818,1.7107220207896237,199,130,60,1.8305571871404847,Strength,33.76258903972837,1.7712882681853352,3,2,34.41215923417719,556.1952618246331
52,Female,102.2085908421675,1.513587508045422,177,116,87,2.5541039244473884,Yoga,19.59022600887896,2.438364934449297,4,2,44.61412001016597,739.0242250328278
